NOME;LATITUDINE;LONGITUDINE;COMUNE;NOTE;SITI
C.T. LE TORRI;44.883972;7.343889;PINEROLO;DECESPUGLIATORE + TRATTORINO;CALORE
C.T. STAZIONE;44.887833;7.338139;PINEROLO;DECESPUGLIATORE;CALORE
ECOISOLA OVEST - VIA BERTAIRONE;44.888580;7.310870;ABBADIA ALPINA DI PINEROLO;TRATTORINO;AMBIENTE
ECOISOLA VIA PISCINA - STR.DA CABIANCA;44.921531;7.472028;AIRASCA;TRATTORINO;AMBIENTE
ECOISOLA VIA GEMERELLO 33;44.794222;7.365861;CAVOUR;TRATTORINO;AMBIENTE
ECOISOLA VIA ALLA GROTTA;44.984821;7.370890;CUMIANA;TRATTORINO;AMBIENTE
ECOISOLA VIA PISCINA;44.920110;7.379384;FROSSASCO;TRATTORINO;AMBIENTE
ECOISOLA STR.DA RACCORDO VIA I° MAGGIO - V.LE MATTEOTTI;44.810694;7.256750;LUSERNA;TRATTORINO;AMBIENTE
ECOISOLA VIA DELLE LAME;44.936223;7.551934;NONE;TRATTORINO;AMBIENTE
ECOISOLA VIA  R.CALZI;44.954013;7.199765;PEROSA ARGENTINA;TRATTORINO;AMBIENTE
ECOISOLA C.SO COSTITUZIONE 15;44.885222;7.358556;PINEROLO EST;TRATTORINO;AMBIENTE
ECOISOLA VIA RIVAROSSA;44.911554;7.428281;PISCINA;TRATTORINO;AMBIENTE
ECOISOLA STOCCAGGIO;44.884345;7.363755;POLO;TRATTORINO;AMBIENTE
ECOISOLA B.TA LA RUA';45.019111;6.947083;PRAGELATO;TRATTORINO;AMBIENTE
ECOISOLA STR. REGIONALE 23;44.997424;7.132390;ROURE;TRATTORINO;AMBIENTE
ECOISOLA STR. REGIONALE 166 KM 10;44.923277;7.236928;S.GERMANO;TRATTORINO;AMBIENTE
ECOISOLA VIA SAN ROCCO;44.861194;7.310056;SAN SECONDO;TRATTORINO;AMBIENTE
ECOISOLA VIA MATTALIA;44.835607;7.508473;VIGONE;TRATTORINO;AMBIENTE
ECOISOLA LOC. SAN GRATO;44.775390;7.497411;VILLAFRANCA;TRATTORINO;AMBIENTE
ECOISOLA STR. AIRASCA DI ORBASSANO;44.982104;7.528118;VOLVERA;TRATTORINO;AMBIENTE
CENTRALE IDROELETTRICA - POZZI;44.946714;7.209601;INVERSO PINASCA;TRATTORINO;SEDI
Parcheggio via Saluzzo;44.878870;7.332103;PINEROLO;TRATTORINO;SEDI
